130.81,195.98,0.1,0.01,0.001,0.4,'before'
116.54,97.99,0.1,0.01,0.02,0.2,'before'
130.81,195.98,0.1,0.01,0.001,0.02,'before'
130.81,97.99,0.1,0.01,0.02,0.02,'before'
155.56,195.98,0.1,0.01,0.001,0.02,'before'
195.98,97.99,0.1,0.01,0.02,0.02,'before'
130.81,195.98,0.1,0.01,0.001,0.40,'the'
116.54,97.99,0.1,0.5,0.020,0.20,'the'
65.40,130.81,0.1,0.01,0.001,0.40,'the'
116.56,97.99,0.1,0.5,0.020,0.20,'the'
97.99,97.99,0.1,0.06,0.02,8,'the'
97.99,97.99,0.07,0.06,0.02,8,'rain'
784.86,660,0.07,10,0.4,4,'rain'
440,523.24,0.07,10,0.4,16,'rain'
311.12,391.99,0.07,10,0.4,16,'rain'
587.32,880,0.07,10,0.4,16,'rain'
391.96,466.16,0.07,10,0.4,16,'rain'
392.43,587.97,0.07,10,0.4,4,'rain'
